question,answer_text
According article Jamie Oliver launched campaign schools,improve children diet school
passage mainly talks,basketball match
writer opened bag wanted,find whose bag
following statements true,Many measures taken stop dollars falling
following TRUE motels,word motel formed two words
best title article,Change best
smartphone average working day,hours
Rowling like write Harry Potter stories cafes,thought writing cafes could help save money
Fewer people would died,attack happened weekend
friend interested painting may join,Kids Art Club
woman laugh looked lane,felt bitter chance escape
purpose writing,recommend book
using computers example author wants prove,products latest design flood market
purpose author starting Hives Lives,improving life
main reasons kids living one parent,Separation divorce
three tortoises,knew
following true according passage,Ecobot turn flies energy completely
best title article,Recycling Switzerland
According passage people worry shopping Internet,fraud Internet happens often
feel history local place,Skagway
passage mainly describes,Verne accurate prediction future
learn passage Jessica,loves eating Joubert kitchen
quotation odds Nathan side means,Nathan greater chance winning challenge
hearing teacher suggestion reading writer thought,one must read many books possible
Fuse Fitness think biggest challenge receptionist,Keeping cheerful even difficult situations
one true according passage,understood words DNA map
learn experiment,children different self control
passage mainly tell,Group buying South Africa
following true,Shakespeare wrote many eleven plays life
writer purpose writing passage,set thinking makes people brave
computerized system following would possible except,much easier pass examination
best title passage,Making Holiday Gifts
implied Professor Gray words,giving children freedom beneficial mental development
following mentioned passage concerning expedition,Lack equipment
inferred,many newcomers universities nervous
save energy according author,Use LED lights
purpose passage,show importance surrounding goals
text mainly written,parents
young man return match Saturday,hoped dead father could proud performance
Diary Book different books,write stories book
According passage people likely tell truth certain media communication,afraid leaving behind traces lies
inferred text,takes lot effort meet water needs
Verichip,tiny microchip
surprising aphasics,tell whether people lying
dogs sleep,homes
author think relationship new thought put practice,One may come new thought put practice
Mike scored author help breath,son might get angry Mike
Panda,toy animal
committee went make decision Adams,could hardly wait show joy
number big predators begin fall quickly 1970,Fishing ships began using new tools could catch fish
passage mainly concerned,Readers way choosing books
purpose passage,advertise hotel Madrid
following true according passage,horrible virus movie Independence Day
author unhappy roll window,know woman would
statement TRUE according author,1920 Games Antwerp Belgium first time participants came five continents
Wang Yue paints tree hole paintings,make ugly tree holes beautiful
Molly Babel mentions Marilyn Monroe order,explain new findings
best title passage,Determined father son
inferred text guerrilla gardeners,become organized
best title passage may probably,Secrets Rainforests
generals finally put end soldiers socialising,warned soldiers would face severe punishment
main reason South Korean series popular,stories morals pure moving
writer attitude toward madness,little creative madness good
Malmqvist opinion Chinese literature widely recognized west,Translation work remains strengthened
People tolerate violence crime,hold mistaken beliefs law breaking
result Warwich University test show,people would rather fail see others succeed
Internet make lives,enjoyable interesting
writer mainly talk,wonderful trip chocolate factory
passage infer,single girls bring untrue boyfriend home
text mainly talk,development house cats
similarity experiments,subjects divided two groups experiments
Tony Little think British education system,fails give boys attention need
join Evergreen Teen Book Club,get one free book cash purchase books
author advise,make gift parents
big hole dug,people could steal dead rats money
Many women take granted according passage,vitamins kind substitutions food
According passage Daniel probably,kind feeder
following main idea passage,adults cheat children cheat
following slip according passage,find watch going work
passage mainly,Foreign language teaching ways America
According passage chimpanzees,fail learn language humans
Carl,Carl Black son
kind food good health according passage,fruit vegetables grain eggs milk meat
following might best title passage,quick Way Home Ambulance
learn 2009 study hypnosis,visible function brain
news say Angry Birds become bigger,theme parks named Angry Birds
students City School most time,help work certain area
following techniques help stress speech,Low hand suddenly
Wal Mart low price policy results,jobless American workers
following true,Neither author mother happy family
seems believe Asian governments,care growing needs women job
people eve Spring Festival,Family members gather big meal
Japanese people often treat guests restaurants,homes hold many people
true,John likes cooking
might suggestion researchers study,Patients take cautious attitude scans
cut tree know,rings thinner south side thicker north side
author mention Thomas Paine passage,something make change society
quite usual working mother,bring one child
following TRUE want get habit sleeping evening,physical labor
author states following CXCEPT,development present techniques provide answers today problems
inferred passage,Salinger keen writing
writer latest book published among four books,Arthur Conan Doyle
text author mainly tells experience,earning pay raise
main idea ofthe passage,Scientists design chips act like human organs
would best title passage,help save wildlife
believe,sometimes patient help way
writer problem first entered boarding school,missed family much
talk history Los Angeles know,became city 18th century
one eat enough still stay slim may,refuse take ice cream good meal
survey UWE know men,satisfied body image
called self help books good,people high self respect
learn text writer brother,warm hearted young man
share data friend networking,Set network
Whose photo,Bill
text mainly,ups downs Melville
would best title passage,Brief History Stephen Hawking
Maria like shopping weekends,many people
women communicate successfully men,give men feeling talking work
following right step fastening seat belts,shoulder belt never arms
Niagara Falls called Honeymoon Capital World,natural setting unique history various activities attractions attract newlyweds
Paul wrote story,remember grandfather
America minutes late appointment,necessary make apology
conclusion draw reading passage,hidden part culture great effect people communication styles
people Britain buying organic food,consider food free pollution
evaluating homeopathic treatments Australian council concerned,objectivity reliability evaluation
best title text,Mosquitoes Choose Bite
Visitors flood Hurghada mainly offer,choices water activities
following sentences true according passage,recycled water much better city tap
following right according passage,Human beings forever ability stop global warming
could afford luxury hotel past,stay low grade hotel
subject discussed text,Changing patterns spending
conclude study 158 nurses,challenging work may good one health
know Patricia parents,mind store day night
According passage writer,turned literature seek answers teens
passage mainly talk,general introduction Clara Barton
inferred passage,present hiring practices need improved
Joseph plans eco friendly travel site suitable,Cabin
Bow Street Runners,stopped people stealing
passage mainly talk,Phoenix Arizona experienced huge sandstorm
apple day keeps doctor away mean,eat apple every day healthy
best title story,Tiger Breakfast
Atlantis destroyed,gods
passage mainly,thoughts peer pressure
passage mainly,introduce books astronomy
discovered cash machine outside Sainsbury store broke,people queued cash machine benefit fault
passage infer,think important winner among activities
writer believed could make difference,boy greeted actively
American newspapers earn money,advertising products
verses might suitable said parents telling spoil children wealth,verse 231
talked part Strategy,best visiting route
passage mainly written,call people protect oceans humans
main purpose writing passage,introduce new way making electricity
writer thinks student part time job probably,useful future work
author think ice cubes created Glace Luxury Ice Company,expensive consumers
best title passage would,Keep Latest Weblish
international reaction China veto Syria issue,feels unhappy
purpose author like read factual books,supply inspirations life
Erica Kenney purpose study,find many sugary drinks kids drink school
Alfred Nobel believed,invention could stop wars world
According passage following statements old people United States true,Many live social security money hardly enough
Mitch Wilson prefers build personal compu ter shopping line,quality Dell satisfying
inferred,London Paris used separated
people buy good newspaper,trust newspapers Internet
text probably taken,science magazine children actions
following TRUE,Jason Moore wants volunteer Special House Program
writer passage thinks mentally fit,control life
man ask son,put pieces map world back together
best title article,Help kids form healthy eating habits
text mainly talks,protection gorillas
According author following statements WRONG,little make difference
strange thing regarding fashion models Japan according passage,like toothache pose photographed
People love watch magic,love watching magicians make something impossible happen
passage mainly,work harder work smarter
following based common sense,man tries take charge everything large company
many people get work late Colombia,want get crowded buses
effective way concentrate food dining,Blindfolding eyes
statement True according passage,Computers Internet important happy family
app costs according text,Chefs Eat
main purpose passage explain possible reason,residents poorer nations enjoy greater meaning life
might purpose writing text,tell story Noah
following TRUE research,joint one conducted Salt Lake City Italian university
following statements true,hates telephone modern means communication
work hard help England hold Football World Cup 2018,Sepp Blatter
following true according article,Nature name article written recently scientists
passage mainly tells,English spend leisure time
writer describes Universal Orlando Resort offers order show,packages easier find year
passage mainly talk,Environmental loss dams
According passage findings,instruct farmers spray crops
reason Australia become first country pass law euthanasia,Australians find easy deal moral practical influence
expected passage,travel two places earth made space
life purpose Mike,wanted make lot money first
Sufjan Stevens make album songs state,studied documents newspapers talked people
opens garage,finds full snow
author gives tips help,become early riser
would best title passage,Revolution toilet
snow covered ledge,would lost lives
main idea article,deal problems life
text meant,introduce new device detect disease
best title passage,Facebook fans worse exams
main purpose passage,attract guided tours Pacaya
smile important gift,writer felt lonely friends made feel happy warm
passage mainly tells,experimental school gets rid classes teachers
writer refers television shows,prove actually common people find hard get rid old stuff
passage mainly tells,smells help remember
learned,Kant satisfied trend tourism
Molly want,Improve grades
best title passage,advice learning foreign language
main focus article,Mixed feelings end series
article mainly talks,effects water problems around world
must get children put seat belts order,keep safe
change Japanese life style revealed fact,young less tolerant discomforts
best title passage,Search better phone power
Richard Axel Linda Buck find,nature human olfactory system
best title text,Peace Mission 2009
know newly discovered gases,CFCs long impact released
According passage find,fathers important influence children babyhood adulthood
Shop owners often hire moonlighting police parking attendants shoppers,trouble parking cars
writer thinks assistant good bookshop,say word customers read
following best title passage,Done
want take wonderful photos Big Ben may,join South Bank tour
Denise Chen Wen Zhou discovered,brain focuses one thing time
following true according passage,play received Tony Award twice
following websites designed young researchers interested Olympics,OFFICIAL WEBSITE OLYMPIC MOVEMENT
infer text Fun Vii,make car paint industry face difficult situation
According passage,taking breaks good
According author role science fiction society,consideration possibilities
infer passage continually rising house prices,affect sound development Chinese society
know passage,author favorite place change
reason young man went see old man,difficult problem troubling
best title passage,NASA confirms best ever evidence water Mars
infer passage,gentleman went hospital author
old woman took peach home,wanted husband eat juicy looking fruit
According author treat,Treat like person care love
text probably written,Poor parents deaf children
following statements true according passage,social situations frequent silence makes people comfortable
example Paranthropus mentioned article order,prove size shape skulls show accurately early humans ate
People like choose cruises,new attempt
reason may husbands wives quarrel,Husbands wives different cycles energy
passage writer seems tell,forgetting things times natural
image author presents students suggest,Women balance career science family
choosing high school Mrs Obama,willing meet challenges
Rose said last suggests England,students satisfied education system
best title passage,Smiles fight colds
best title passage,Sports health
would best title text,happens age
Mrs Turner surprised tired man,said something nothing answer
writer gives example egg,show important wear seat belt car
happened first story,soccer game ended
passage know,good teacher may unable act well stage
best title passage,Life Exists Earth
John Mary lose,baseballs
best title,Kun Youngest Writer
following might best title passage,History chocolate rich taste
Echo unable let Narcissus know loved,Hera taken away ability speak first
unusual Monk House,bathroom fight kitchen
writer online shopping,price things high shops
According passage writer wants tell,live life full love one life
learn John passage,tried get money work
infer passage,enough experience women become good drivers
example 100 year old woman used,introduce benefits reading books
passage mainly,unusual condition
Ebola causes death human,damaging immune cells
following TRUE according article,woodchuck run three dogs
students going London first time following provides reliable information,University accommodation offices
started school Rain Bow Project,principal foreign language school
Fitzgerald showed,invaluable love son
report mainly tells,boy attacked shark Sydney beach
following TRUE according passage,Subscribers paper print edition also enjoy full access site
following statements would Nicholas Christakis agree,one gains weight one friends likely get fat
Country music one popular kinds music world today,loved different kinds people world
best title passage might,British royal wedding guest list details leaks
following Artic Hall Hotel true,hotel spring
learn passage,applicants hand application forms 18th April 2008
Teenagers biological clock,easily makes teenagers lead insomnia
author think Joe Temper blame,sure
learn text,less exercise fewer sweet things eat
students find McKay,trained pilots time
According text Kim McDermott,could find record graduates
might author discussing passage,Methods decreasing population
best title passage,Different school rules
problem hotel,enough rooms
Oneworld Explorer program said suitable,travel around world business
text call infer,job hunting hard old people
Zhana Simmons dream die,new heart work properly
following TRUE researchers DWP,want know parents really need face economic difficulties
best title passage,Christmas Australia
neighbor went Boston,see mother
following true according passage,People keep eyes protected drying blinking normally
passage mainly tell,writer likes good books
England Lenin,Englishmen could understand
Edward Wilson believes,situation biodiversity serious
Edwin Gale opinion,shows study may beyond fact
find full post Cryo,Trends Updates
purpose passage,warn young people hardships successful writer experience
made Gates wife also philanthropist according passage,impressed poverty people Zaire
author passage probably believes,good people imitate celebrities blindly
unclean places make people feel,Angry ill
experiment proved,talk plants give love
following sentences True,Weihenmayer first man climb Everest
even comedy film 1941 called Meet John Doe,people use name often
best title passage could,W00 Crowned Word Year
Young school short time,poor studying
Crime Rates Fell mentioned article tell readers,criminals strictly sentenced
infer last sentence text,Children want spend time playing parents
According passage European children,usually considered lazy
main reason killing sharks Asia,Shark fins great need
best title passage,Jay Chou way success
following best title passage,Accept without reading
may learn text Nick,kind hearted considerate
passage sure,Americans live quick rhythm
guidepost,drivers
inferred passage many Americans find difficult,buy house
passage mainly,improve lives old
main idea passage,10th H7N9 infection case confirmed China
elephants live longest according study,Elephants live wild
following best title passage,slang
Zach walked last mile long journey,many people walked
infer passage,good bad programmes
best title passage may,Oprah Winfrey
device reader able,get rid heavy books made paper
writer like wearing,Baggy pants long shirts
main idea passage,Chinese confident take foreigners equals
following best title passage,British schools banning skirts
following true,expression history 100 years
following result volcanic eruption,becomes dangerous animals eat outside
Busy people notice,told long dish takes cook
passage implies penumbral eclipses,difficult observe types lunar eclipse
According passage following statements true EXCEPT,Arable land covers country total area
following best expresses main idea passage,Richard Wagner controversial man
probable reason rich people use device record patterns,want get sufficient sleep
inferred passage,Katherine work helpful meaningful
following plays part whether dolphin whistles heard distance,whistle frequency
following statements TRUE according article,Dutch students required learn cycle school
better educated people,adapted easily foreign customs habits
following statements would author agree,Treat person wheelchair would treat person
text mainly,Wandering minds might brighter brains
first day students,take language test
young woman offer seat writer,writer looked exhausted
best title passage may,Cloud Seeding
Columbus succeeded finding,land side Atlantic
infer passage,women generally safer drivers opposite sex
good lesson story,people know save facing trouble
following right,feel tired become ill never need water
program Interlake School Division,designed send experiments ISS
passage mainly talk,different ways give directions different parts world
According passage election results suggested,Obama promised devote economic development
infer gold rush China passage,China become largest gold buyers due decline global gold prices
dangerous wrong,think water endless
would best title passage,Michael Jackson Korea Rain
writer attitude towards charity,Charity virtue admires practice
underline phrase blanket ban probably means,complete ban
According Zhou Jianliang know,sunlight necessary power rover lander
According author may chiefly responsible moral decline Japanese society,life style influenced Western values
Dudley choose printer braces buying,enough money
film star fan city would like visit among three,Los Angeles
begin kids allowed,
Loneliness divided according,time lasts
passage mainly talk,Idiot savants areas outstanding abilities
author writes passage purpose,stressing necessity family meals teenage girls
inferred passage,people usually change reading tastes grow
mentioned passage,hobby
Spring sell false autographs England Canada,less chance detected
sentence best reflect Marc Briol loves career,Food life
Knowing wagon broken author,afraid could overcome difficulty
part Smith body went wrong first,new nose
Trice said know,greatly impressed encouraged Mandela speech
boy get toy,selling apples apple tree
Peter Katzmarzyk seems believe,sit long time
writer wrote passage order,report findings research
modern western countries,lots people illnesses caused made worse bad eating habits
would best title passage,Brick Artist
According text following benefit sociable people,Losing weight easily
According Werner states help foster care kids psychotropic drugs mainly,drugs cost less money treatments
People thought Merlin dreamer,full strange ideas
inferred passage,role hospital environment important
Mandela sent prison years,organized many activities apartheid
rules criticized people,include punishments choose ignore rules
show tells people,
inferred passage,society tends wrong image single women
kids lucky,fell got hurt
UCSB research find,Octopuses see things using skin
writer wants tell,protect
chief wants villagers,collect wood
modern studios,use computers everyday sounds
following might Angel Gurria agree,rich poor countries take agriculture seriously
passage written,tell readers mysterious airplane disappearances Aviation History
following best describes ant tribe,refers group low income graduates living embarrassing conditions
Thanksgiving Day Jim,get lots presents
writer one kids noticed eavesdropping,took old receipt ripped four pieces wrote different word piece
know text,poets write one type poem
story talking,jeans
following true according passage,Baines liked live alone
text written,discuss music piracy Internet
original Buckingham Palace built,Duke Buckingham wife
following mentioned passage,ancestors first came
four movies common,inspiring stories make difference
meet group people better remember,names first
attitude take towards misfortune author opinion,Facing bravely positive mind
scientists find nose worked,tests damaged healthy leaves
main reason author wanted model,wanted get reputation wealth
know good evil Miyazaki films,figures simply judged good evil
According passage information right,Fungal diseases mainly affect Cavendish banana
infer new experiment conducted researchers Karolinska Institute mice depressed except,attempt escape cold water zone
following statements true according passage,Men still likely use Internet women
author considered Rose time machine,enjoyed long life lots wisdom experience
following true according passage,Shen Hao spent much time taking care daughter
author wrote passage,make people realize need protect environment
According passage volunteer nursing homes,Playing cards lonely old man
Aunt know bed,newspaper
following statements true,find harmful additives packaging labels food
future smart phones following except,offering advice owners friends relatives
right,Betty Kate bedroom
teacher helping,put desks chairs order
homework,sits desk
text mainly talk,advantages studying abroad
green plants grass helpful,
took apple first,Mike
passage tells facts Brief History Time EXCEPT,included Hawking five life lessons become genius
passage may,Book science
happened author used password change life,finally overcame depression forgave wife
new railroad completed,Tibetans business Tibet develop tourism
main idea passage,Older dads might benefit health children grandchildren
following reason kids early start drinking,Drinking alcohol much cooler taking drugs
following true orbitofrontal cortex,tells people eat breakfast
following serves best title passage,Canada Refuse Cut Emissions
dropouts regret leaving school graduation,present conditions unsatisfactory
Pocahontas saved John Smith twice,believed general kindness even people different race
passage mainly,new discovery mental decline
ordinary family homes energy efficient,sealing performance poor
stars appear ads,famous
author want tell Paragraph,reasons researching undersea tourism
Jenny says know,clothes Nancy office helped get job
following one reasons parents choose home schooling,people different religious beliefs others
following ways measuring time ordered least accurate accurate,Sun pendulum atomic clock
Playing vocabulary game Freerice enables following EXCEPT,admitted top university
article know President Obama,takes risks
People use pink express good health,healthy babies born nice pink skin
basic difference Esperanto English,Esperanto supported country culture
following true particularist societies,society rules changed different persons situations
following TRUE according passage,guests know students names reading cardboard name cards
According ILO following caused high youth unemployment rate except,government calls young people take whatever job available
Stoker hope,Irving would play central character stage play
Couch Surfing network intended,offer travelers convenience find suitable hosts free accommodations
best title passage,Visa Information
good reader may read fastest,trying find something report
According passage people think happiness lies imagination try achieve happiness,looking towards fewer possessions
According article plant freezes winter,water transport system could blocked spring
know poems Keats Wordsworth passage,poetry create positive feelings
deep gone earth,miles
main idea passage,line dividing human culture animal culture clear might think
learn passage,expression play cat mouse usually means play tricks others
phrase nation treasures mean,Library property
inferred passage,local man give White advice
text mainly,show versions origins April Fool Day
Austin realized lost way,decided sleep wild
According passage adults eating habits differ babies,adults eating habits closely related social cultural customs
conclusion drawn passage,organization Olympic Games must improved
inferred text,Windows still use period time
According developmental psychologists,baby play somehow similar scientist experiment
following true word belittle,gradually accepted people
appears writer tends think highly person sleeps one side,confident stubborn
could best title text,Brief Biography Albert Schweitzer
following learned passage,Scientists usually apply reflexes conditioning explaining animal behaviors
infer last passage,People found place question express different views
author takes hair salon example show,changes happening Old Doha
According author giving pocket money children,makes learn independent
reason butterfly could fly,came cocoon without enough struggle
first day pandas arrival visitors could,watch pandas system zoo
shopkeeper asks young man buy carnations,carnations cheaper roses
following statements think true writer,favor enrichment rather acceleration
fairies opinion important,beautiful attractive fairy
main idea passage,Modern technology key improvement standard living
writer sorry noticed,people large cities tend excuse criminals
text mainly,continuing ban ivory sale protect elephants
author hospital friend,friend admitted hospital
Sending email interesting people way,contact people
author loneliness past months,recalled fond memories mother
following True according passage,farmer use tractor plow field
culture pub Britain developed,encourage people communicate
learn words,customers usually wealthy families
passage mainly,brief introduction Mary Cassatt
TRUE according passage,apple tree unhappy help man
voice transplant operation great significance proves,nerve repairing breakthrough tissue engineering
eyes Walker,students realize education valuable
What best title passage,Spring Festival Goes Green
suddenly neither suggests,suddenly found longer kid
students follow doctor suggesting,may feel backpacks lighter
learn passage,become future leader branches contact centres would better join Retail Banking Wealth Management Global Graduate Programme
links Wikipedia resources mainly,help users better informed
The following aspects training help increase intelligence EXCEPT,using previous experience
saying Mailer remembered much personality writing author means,Mailer personality impressing writing
USA almost half college students work studying,want depend parents
inferred passage author believes,many countries success often depends one social status
life long Emperor Yang stay Yangzhou total,Three years two months
enter competition photos must,taken non professional participants
report needle stick injuries medical students,receive tests
known fact,seasons southern part different north
According passage Father Day,fathers often honored different ways
According passage know,unwise waste time seek unpleasant things
candidates must,non native middle school students
According text seemed,Johnstone Dolby could seen airport waiting room Singapore
Jenny sometimes school,helps friends lessons
following statements true according passage,present Nina cycle may last spring 2008 disappear
following true Arapahoe teen rescue patrol,think save lives growing
best title passage,Online shopping China
Emma Delaney friends,active travelling abroad
author went hospital friend,accompany Lesa
writer angry traveling train London,someone invaded space
infer passage,poem Hyperion completed Keats
purpose passage tell readers,ought learn live present moment
passage know,Khan plans include subjects future
passage infer,people opened oilfield North Pole
According Bas Lansdorp following TRUE,could come fund Mars One
main idea passage,ways help learn second language easily
Passage mainly,Monkey King return screens effects
Louis Uchitelle mean disposable American,Workers longer secure jobs
message get text,Visitors encouraged come bus
Simon school,bus
Nelson Mandela fought racial discrimination,could still lived happy life
passage know,Alice friendly students
infer passage Ronaldo,became star Cruzeriro Belo Horizonte 1992
purpose writing text,give advice dealing airlines
According passage reason blogs popular,
World Children organization created,honour anyone helped kids need
purpose passage,introduce recent study two teenagers Jordan
conclusion draw story,Money important things
Mike McClure turn back earlier course,wanted choose short course
learn ritual Meredith book,elephants felt sad ritual
passage know inflation situation,money constantly loses value
following TRUE students returning studying overseas,may still miss country studied
libraries struggling stay important,preparing future electronic reading devices may used
writer attitude towards genetically modified foods,give people information decide whether buy
Bob understand,students called Peter
passage mainly talk,dramas magic touch
big stone trapped right arm,cut part arm survive
two places visit getting underground station,Buckingham Palace Westminster Abbey
text infer,author took medicine treat hearing loss
master buy lot chilies,price chilies low
James say brother insensitive,told news directly
Florida Virtual School open,students across world
next day people bus happy,maid among
author purpose writing passage,attract readers travel Las Vegas
learn passage,People often feel joyful receive hugs
positions require following EXCEPT,professional computer knowledge
According Matt Rush American agriculture provide opportunities younger people,investment agriculture profitable
French paradox referred passage,stress importance using fresh food ingredients
see,Zhang Ziyi internationally Chinese actress
Australia find,enjoy many different kinds meat Australia
would difficult British people look cigarette America,Americans know fag means cigarette
happened accident happen,
Martha refused read report front class,afraid laughed
According passage successful people different unsuccessful ones,successful people set goals lives make plans carry
important reason bargaining popular modern day America,plenty choices products sellers
following statements true,Including picture item sale helps make selling simple
lion want catch bulls first,bulls stand together find
reasons people fly Bel Air followings except,price high
give Edna moment peace,baby started walk
open financial sector China taken many measures EXCEPT,Strengthening connections China countries leaders paying visits countries
learn story,one strong points
following sentences true,drivers country wear seat belts
lady crying author,missed daughter much
following advice given article EXCEPT,study possible time place
Jane Addams inspired open Hull House,visited Toynbee Hall
following students likely able attend GYC,student receives confirmation notice
know word cool,many different meanings
following included syllabus,Homework
watch eating,need rest eyes
passage mainly deals,latest findings awareness vegetative patients
According experts better giving money,Cutting price energy use daily life
inferred,existed different opinions towards motorcycling sport
best title passage may,Friend Enemy
lesson ugly fairy learned mother,one change according others opinion
According text,two pumps used put fire
following statements true,Hold steady comes lecture given fashion queen
blind man shout flush flush,thought caught big toilet someone cleaning
purpose international scientists,find captivity affects elephants
passage mainly,David Salinger early life
WRONG according passage,Eva Murzyn professor Dundee University Britain
author think adding make face,hard achieve wish
following RIGHT,restaurant Renmin Road
impolite,guest ask host price things room
following true imperial garden,built fairy tales
Alice Green write letter,wants make pen pal China
best title passage,Social Media Threat Marriage
following content courtesy pledge,Teenagers talk strangers public
following learned,thought highly
one wants see North Pole pay following EXCEPT,equipment sledding
Test anxiety recognized,real problem
inferred passage,wedding held Westminster Abbey April 29th
WRONG,Green liked lend books learned persons
heard old man story writer,showed great mercy upon
following focus story,Hilary aunt money
refuse participate tests added electronic reading component,test would give schools extra work
following statements true,last one sit last chair
advertisement cartoon lion used,promotion product
Nowadays many office workers wrongly think,regular exercise benefits long periods sitting
following TRUE according passage,Martin first person described flying object plate
cases conflicts parents children,really mean deep emotional problem
following best title passage,Life students Singapore
Japanese student feel unhappy,parents want well school give much pressure
According passage oppose smoking bans public places,believe people smoke home
passage mainly,Self understanding
mentioned harm fog haze,Many people dead
According passage infer,writer addicted WOW
Damien Hynes,teacher teaches geography high school Australia
greatly affected Charles Dickens young,leaving school work
American students care poor maths results,think maths nothing future
learn text author father,happy help trouble
passage author want say,Young smokers drop cigarettes
author think reading,important part lives
first three passages conclude,author trying avoid conflict Brittany
Konrad Fischer picked bottle sea,wanted throw back sea first
main idea passage,unsuccessful person became famous
TRUE according passage,Miss Kate parents always worried marriage
Mayday songs,influenced greatly holy persons
text,origin prom Thanksgiving
major business lawyer,advise people law problems
following statements true according passage,Algae existed 430 million years
following statements true,German shepherd never loses popularity provides companionship also protection
Kimberly Oliver named National Teacher Year mostly,helpful ahd many special good ideas teaching children
Bobby Brown holds opinion,journalists getting wrong end stick
One conclude passage blues,served form communication self expression
want watch Thai culture dance shows,Thai resort areas big hotels
kind restaurant waitress often tell name,family restaurant
included measures taken Chinese,emergency response mechanism country
writer writes passage,return money girl
following true according passage,English useful language Internet
following WRONG traditional handwriting USA,write cursive taught first
French scientists research Russian astronauts,Russian astronauts worked space long time
author purpose writing passage,express views homeschooling
results study tell,using cellphones effect brain cells
title passage,Chinese Food Britain
last sentence passage implies,critic finds character book real
following true according text,protect injuries completely
best title passage,Plan Save Coral Extinction
Merlin Entertainments build film cinema,wanted increase value London Eye
old man young man met,young man said something comfort old man
inferred text,shy people may suffer great deal may less happy
TRUE Nate Robinson,NBA Slam Dunk Contest
problem guessing sound stop bus,lorries may sound bus
main idea passage,give general information pet travel
best title passage,friendship trouble
reading passage inferred,George Bush directive issued global opinions
neighbor hit thief,punish stealing
following right according passage,waiter know English
first farmer sell farm,wanted make money elsewhere
best title passage,whales hunted watched
According passage safe watch lunar eclipse unlike solar eclipse,moonlight less strong sunlight
infer,dangerous spaceship enter earth atmosphere
signing franchise agreement franchisee,maintain company standards
people prefer shopping online according author,comfortable convenient
following conductor help writer,conductor took center city taxi
Studying country many advantages except,courses free charge
Rooster talks learnt play fiddle order prove,forming good habits important
following TRUE according passage,Ford aimed build cars general public
boy wanted lawyer following EXCEPT,great sense humor
According text infer,eyewitness testimony valuable though sometimes incorrect
author leave first job,decided attend parttime course
learn passage,similar study done native Italian speakers learn English second language
According text tree,years old
Cameron dive deepest place Earth,open new frontier
People willing become mystery shopper mainly,job either full time part time get paid well
improve sleep according doctor,stay bed asleep
passage mainly,individuals help make difference
protect hearing enjoy music,decibels less one hour day
dentist said never asked,gentlemen money
could best title passage,Pet Left behind
average citizen dislikes motorcyclists,frequently look dirty often make unpleasant noise appearance contributes people terrible imagination
infer Mayor Willie Brown,praised boy new idea
Bears lions keep safe,color1s much like trees
infer passage astronauts,must pay attention crumbs space
According study working memory,allows people consider things time
following best describe main idea passage,expectations partners financial pressure may prevent relationship
author pupil,liked writing stories
raven wash feathers every day,thought feathers would turn white
saying confidence reciprocated author means,women would like follow mother style advice
Smith thinks Katie mother probably,tries stay close Katie
learn text Ridgway,fame voyage across Atlantic
Ralph Buehler Greg Billing agree,Money saved people use bicycles
Dunia afraid caretakers first,humans cruel family
passage mainly,One comedian life
One ways experts suggest,people charged crowded roads rush hour
father tried cheer daughter,sad
viewing rock art tourists,Nature Power House Museum
last sentence article means,Fair minded right handed people starting help left handed people
main purpose passage,encourage readers live positive life
following TRUE according passage,People hold different opinions towards slang
following True,young man thought old man needed coin
good study habit,putting studying
following TRUE according passage,Italians like drinking coffee every meal
owner wife put forgetful grass food,hoped old man would leave bag inn
passage mainly,introduction sign language
Thomas Brodie Sangster reached maturity early probably,starting acting early ten
passage know,subjects students choose except required ones
purpose Livemocha create website,offer new ways language learning
main reason South China tiger becoming one world top ten endangered species,uncontrolled hunting destroyed natural living conditions
passage mainly,typical customs festivals Bulgaria
Dogs always tied chains often behavioral problems,dogs love play much human beings
carsharing renter accident California car owner,suffer consequence
key point advice Jonny father,Learn control oneself keep using motto life
beginning cooperation Royal Liverpool hospital Gaza,Shifa doctor turned Royal Liverpool hospital help
According passage following statements TRUE,Web building spiders probably die without webs
inferred passage,Central Subway construction
main purpose article,introduce Nobel prize winners experiments
Robert hobby,Watching
visitor paid attention dog,understand dog meant
following statements would Frick agree,Spanking often fails get message parents across
end letter Pat wanted wife excuse,bad writing spelling
old man give big orange,king
Bolt,dog star
avoid damaged woman traveling alone,find like minded travelers company
passage know,movies appeal people much
Alice Walker mean says Langston Hughes dead,Langston Hughes still present thoughts
study led Miles Padgett mainly suggest,Devices like lenses slow speed light
According passage infer,Persia tougher defeat Egypt
following statements TRUE according passage,discovery drawn leading experts attention
writer suggests,popularity products may last long
author mother attitude online shopping first,doubted quality online goods
Jason Haffizulla stabbed physics teacher,got worse mark usual
participants following things except,playing computer games
best title passage,Teens use Twitter share rides
According article one thing pay attention making mistakes,taking consequences account
passage writer wants tell,never lose heart
England may find,may eat well without paying much
passage mainly,advantages disadvantages studying abroad
infer passage,mankind right land moon
gave young man keys,surprised
topic text,Islands around world
passage mainly,Harriet fought slavery life
passage mainly tells,textbook renting money saving fun convenient way college students
happened writer turned around write blackboard,class began laugh loudly
way home Wang Bing wants,learn skating
main purpose text,inform advantages plant cloning
true party,last four five hours
author thinks really uncomfortable receive,gift given friend
author got know friend,asking another friend call
living room good place study,noisy
smile important gift,made writer feel happy lively warm
